title,url,type_bill,year,period
PAL 01-24 MESADAS PENSIONALES,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-acto-2024-2025/3173-proyecto-de-acto-legislativo-01-de-2024,Acto legislativo,2024-2025,2022 - 2026
PL 288-24 Propiedad Horizontal,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3151-proyecto-de-ley-288-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 279-24 Mod art 164 y 250 de la Ley 1437,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3150-proyecto-de-ley-279-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 275-24 Convivencia y Seguridad en los Territorios,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3149-proyecto-de-ley-275-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 271-24 Codigo Etica Quimica Farmaceutica,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3148-proyecto-de-ley-271-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 269-24 Seguridad en Lineas Moviles,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3147-proyecto-de-ley-269-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 267-24 Monumentos de Identidad,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3146-proyecto-de-ley-267-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 263-24 Municipio de Cumbal,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3145-proyecto-de-ley-263-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 262-24 Sistema Información Procesos Penales,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3144-proyecto-de-ley-262-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 261-24 Protección a Menores en Redes Sociales,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3143-proyecto-de-ley-261-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 259-24S - 399-24C Salinas de Manaure,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3142-proyecto-de-ley-259-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 258-24 Derechos Servidores Públicos,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3141-proyecto-de-ley-258-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 255-24 IA Siniestros viales,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3140-proyecto-de-ley-255-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 254-24 Seguridad Digital Niños,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3139-proyecto-de-ley-254-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 249-24 Armero,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3135-proyecto-de-ley-249-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 241-24 Lagos,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3138-proyecto-de-ley-241-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 240-24 Juegos Pirotécnicos,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3134-proyecto-de-ley-240-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 239-24 Día Nal del Arbol,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3137-proyecto-de-ley-239-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 238-24 Municipio Plato,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3133-proyecto-de-ley-238-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 237-24 Leyenda del Hombre Caiman,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3132-proyecto-de-ley-237-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 236-24 Parques Sanos y Seguros,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3131-proyecto-de-ley-236-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 235-24 Judicaturas y Pasantias,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3130-proyecto-de-ley-235-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 234-24 Maquinaria Verde,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3129-proyecto-de-ley-234-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 233-24 Seguridad Ciudadana,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3128-proyecto-de-ley-233-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 231-24 Ley Stefania Villamizar,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3136-proyecto-de-ley-231-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 229-24 Modifica Ley 2165,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3127-proyecto-de-ley-229-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 228-24 Suratá,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3126-proyecto-de-ley-228-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 227-24 Victimas Genocidio contra Union Patriotica,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3125-proyecto-de-ley-227-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 226-24 Competencias Comunicativas,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3124-proyecto-de-ley-226-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 225-24 Falsedad Personas IA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3122-proyecto-de-ley-225-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 224-24 Cero Tolerancia,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3121-proyecto-de-ley-224-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 223-24 Ley del Veterano,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3120-proyecto-de-ley-223-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 222-24 Competencias Socioemocionales,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3119-proyecto-de-ley-222-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 221-24 Sector Interreligioso,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3118-proyecto-de-ley-221-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 220-24 Formulas Tarifarias,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3117-proyecto-de-ley-220-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 219-24 Reconexión Gratuita Ya,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3116-proyecto-de-ley-219-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 218-24 Ley de Energia Justa,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3115-proyecto-de-ley-218-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 217-2024 Convenio Ginebra,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3114-proyecto-de-ley-217-de-2024,Proyecto de ley,2023-2024,2022 - 2026
PL 216-23S - 339-23C Reforma a la Salud,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3110-proyecto-de-ley-216-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 215-23 Ingeniería Agropecuaria,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3109-proyecto-de-ley-215-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 214-23 Inspectores de Policía,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3108-proyecto-de-ley-214-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 213-23 Microtráfico,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3107-proyecto-de-ley-213-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 212-23 Juntas Defensoras de Animales,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3106-proyecto-de-ley-212-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 211-23 Corralejas,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3105-proyecto-de-ley-211-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 210-23 Financiación Personas Privadas Libertad,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3104-proyecto-de-ley-210-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 209-23 Segundas Oportunidades,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3103-proyecto-de-ley-209-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 208-23 Tecnologías Insonoras,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3102-proyecto-de-ley-208-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 207-23 Agua en la Guajira,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3101-proyecto-de-ley-207-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 206-23 Sillas Seguras,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3100-proyecto-de-ley-206-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 205-23 Siniestros Viales,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3099-proyecto-de-ley-205-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 204-23 Fondos de Empleados,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3098-proyecto-de-ley-204-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 203-23 Modifica Ley 56 de 1981,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3097-proyecto-de-ley-203-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 202-23 Derechos Organizaciones Políticas,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3096-proyecto-de-ley-202-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 201-23 Olvido Oncológico,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3095-proyecto-de-ley-201-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 200-23 Controlador Transito Aéreo,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3094-proyecto-de-ley-200-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 199-23 Ley Sarita,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3093-proyecto-de-ley-199-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 198-23 Arbitraje,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3092-proyecto-de-ley-198-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 197-23 Agua en la Guajira,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3091-proyecto-de-ley-197-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 196-23 Obstrucción a la Paz,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3090-proyecto-de-ley-196-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 195-23 Tame,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3089-proyecto-de-ley-195-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 194-23 Fentanilo,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3088-proyecto-de-ley-194-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 193-23 Mejoramiento Genetico,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3087-proyecto-de-ley-193-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 192-23 Modifica Leyes de Paz Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3086-proyecto-de-ley-192-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 191-23 UTL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3085-proyecto-de-ley-191-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 189-23 Acuerdo Pesca Ilegal,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3084-proyecto-de-ley-189-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 188-23 Modifica Parágrafo PAL,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3083-proyecto-de-ley-188-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 187-23 Gas Licuado,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3082-proyecto-de-ley-187-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 186-23 Trabajo Sexual,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3081-proyecto-de-ley-186-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 185-23 Sentencias,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3080-proyecto-de-ley-185-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 184-23 Saldos Impuesto Renta,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3077-proyecto-de-ley-184-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 183-23 Disforia de Género Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3076-proyecto-de-ley-183-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 182-23 Patrimonio Feria Equina,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3075-proyecto-de-ley-182-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 181-23 Deserción Escolar,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3074-proyecto-de-ley-181-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 180-23 Incompatibilidades Alcaldes,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3073-proyecto-de-ley-180-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 179-23 Sistema Nacional Salud Fuerza Pública,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3072-proyecto-de-ley-179-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 178-23 Elección de la Candidatura,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3071-proyecto-de-ley-178-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 177-23 La U al Barrio,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3070-proyecto-de-ley-177-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 176-23 Tarjetas SIM y ESIM,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3069-proyecto-de-ley-176-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 175-23 Permanencia Estudiantil,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3068-proyecto-de-ley-175-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 171-23 Licencia Enfermedad Terminal,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3067-proyecto-de-ley-171-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 170-23 Estabilización Socioeconómico Grupos Armados,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3066-proyecto-de-ley-170-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 169-23 Pesca Artesanal,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3065-proyecto-de-ley-169-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 168-23 Lucha Contra el Hambre,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3064-proyecto-de-ley-168-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 167-23 Derechos Usuarios Transporte Aéreo,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3063-proyecto-de-ley-167-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 166-23 Moneda Metalica,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3062-proyecto-de-ley-166-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 165-23 Fotomultas,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3061-proyecto-de-ley-165-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 163-23 Pensión Especial de Vejez,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3060-proyecto-de-ley-163-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 162-23 Salud Mental,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3059-proyecto-de-ley-162-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 159-23 Incentivos Agricultura Campesina,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3057-proyecto-de-ley-159-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 158-23 Escuelas Normales,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3056-proyecto-de-ley-158-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 157-23 Estructura Jurisdiccion Agraria y Rural,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3153-proyecto-de-ley-157-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 156-23 Funcionamiento Jurisdiccion Agraria y Rural,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3152-proyecto-de-ley-156-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 155-23 Concursos Procuraduria,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3055-proyecto-de-ley-155-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 154-23 Sector Cafetero,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3054-proyecto-de-ley-154-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 153-23 Permuta Bienes Inmuebles,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3053-proyecto-de-ley-153-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 152-23 Polígrafo,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3052-proyecto-de-ley-152-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 151-23 Universidad Pública del Campo,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3051-proyecto-de-ley-151-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 150-23 Sustitución Seres Sintientes Turismo,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3050-proyecto-de-ley-150-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 149-23 Redelimitación Reserva Forestal,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3049-proyecto-de-ley-149-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 148-23 Residuos Solidos Especiales,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3048-proyecto-de-ley-148-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 147-23 Graduación Bachilleres Educación Terciaria,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3047-proyecto-de-ley-147-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 146-23 Politecnico Jaime Isaza,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3046-proyecto-de-ley-146-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 145-23 Biodiversidad,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3045-proyecto-de-ley-145-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 144-23 Centros Regionales Bienestar Animal,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3044-proyecto-de-ley-144-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 141-23 Código Etica Fisioterapia,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3043-proyecto-de-ley-141-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 134-23 Vivienda Interés Social,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3042-proyecto-de-ley-134-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 133-23 Acuerdo Turquía Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3041-proyecto-de-ley-133-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 132-23 Procedimiento Sancionatorio Ambiental,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3040-proyecto-de-ley-132-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 131-23 Sufragistas,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3036-proyecto-de-ley-131-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 130-23 Inteligencia Artificial Derecho al Trabajo,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3035-proyecto-de-ley-130-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 129-23 Ley Juventudes Rurales y Campesinas,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3034-proyecto-de-ley-129-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 128-23 Subclase Animales Domesticos,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3033-proyecto-de-ley-128-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 127-23 Tarifas Peajes,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3032-proyecto-de-ley-127-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 126-23 Fuerzas Militares,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3031-proyecto-de-ley-126-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 125-23 Terrenos Baldios,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3030-proyecto-de-ley-125-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 124-23 Neurocirugia,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3029-proyecto-de-ley-124-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 123-23 Niñas y Mujeres,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3028-proyecto-de-ley-123-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 122-23 Plantas de Beneficio Animal,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3027-proyecto-de-ley-122-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 121-23 Derecho al Trabajo,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3026-proyecto-de-ley-121-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 120-23 Pereira,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3025-proyecto-de-ley-120-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 115-23 Sistema Seguridad Social Juntas Acción Comunal,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3024-proyecto-de-ley-115-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 114-23 Pueblos Indigenas,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3023-proyecto-de-ley-114-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 113-23 Reducción del Riesgo Descargar ,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3022-proyecto-de-ley-113-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 112-23 Turismo,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3021-proyecto-de-ley-112-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 111-23 Bicicletas y Patinetas,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3020-proyecto-de-ley-111-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 110-23 Sistema Seguridad Social en salud,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3019-proyecto-de-ley-110-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 109-23 Contratación Plataformas Digitales,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3018-proyecto-de-ley-109-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 108-23 Estampilla La Vorágine,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3017-proyecto-de-ley-108-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 107-23 Fomento del Deporte,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3016-proyecto-de-ley-107-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 106-23 Insolvencia Empresaria,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3015-proyecto-de-ley-106-de-2023,Proyecto de ley,2023-2024,2022 - 2026
PL 105-23 Licencia de Maternidad,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2023-2024/3014-proyecto-de-ley-105-de-2023,Proyecto de ley,2023-2024,2022 - 2026
