title,url,type_bill,year,period
PL 220-24 INFRACCIONES CÓDIGO DE TRANSITO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3350-proyecto-de-ley-220-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 219-24 LEGISLACIÓN DEPORTIVA,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3349-proyecto-de-ley-219-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 218-24 ENTRENADOR DEPORTIVO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3348-proyecto-de-ley-218-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 217-24 BALDIOS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3347-proyecto-de-ley-217-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 216-24 BIOMETRIA ES TU SEGURIDAD,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3346-proyecto-de-ley-216-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 215-24 COL0MBIA MAYOR SIN BARRERAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3345-proyecto-de-ley-215-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 214-24 ESTUDIO SIN MADRUGON,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3344-proyecto-de-ley-214-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 213-24 REGALIAS,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3343-proyecto-de-ley-213-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 212-24 EDUCACIÓN,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3342-proyecto-de-ley-212-de-2024,Proyecto de ley,2024-2025,2022 - 2026
PL 211-24 SISTEMA FERROVIARIO,https://leyes.senado.gov.co/proyectos/index.php/textos-radicados-senado/p-ley-2024-2025/3341-proyecto-de-ley-211-de-2024,Proyecto de ley,2024-2025,2022 - 2026
