,number,title,Autores,type_bill,year,period,state_bill,authors_positions,authors_count
23,PL289-22,PL 289-2023 SALUD MENTALDescargar ,"['GUSTAVO ADOLFO MORENO HURTADO', 'GUIDO ECHEVERRY PIEDRAHITA', 'BEATRIZ LORENA RIOS CUELLAR', 'JAIRO ALBERTO CASTELLANOS SERRANO', 'SOLEDAD TAMAYO TAMAYO', 'PEDRO HERNANDO FLÓREZ PORRAS']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.5,6.0
24,PL288-22,PL-288S-2023-DESMANTELAMIENTO BANDAS CRIMINALESDescargar ,"['Ministro de Justicia y del Derecho', 'doctor NESTOR IVÁN OZUNA PATIÑO; Ministro del Interior', 'doctor ALFONSO PRADA GIL; con el acompañamiento de los Honorables Senadores ROY BARRERAS MONTEALEGRE', 'ALEXANDER LÓPEZ MAYA', 'IVÁN CEPEDA CASTRO', 'ARIEL AVILA; y los Honorables Representantes DAVID RACERO MAYORCA', 'HERACLITO LANDINEZ', 'EDUARD SARMIENTO HIDALGO', 'OLGA BEATRIZ GONZALEZ', 'CRISTOBAL CAICEDO ANGULO', 'ANDRES CALLE AGUAS', 'ANDRES CANCIMANCE', 'DIOGENES QUINTERO', 'PEDRO SUAREZ VACCA', 'MARY ANNE PERDOMO', 'ERICK VELASCO', 'JAMES JAMES HERMENEGILDO MOSQUERA', 'GABRIEL PARRADO DURAN.ALIRIO URIBE MUÑÓZ']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.875,16.0
25,PL287-22,PL-287S-2023-GLIFOSATODescargar ,['ESMERALDA HERNANDEZ SILVA'],Proyecto de ley,2022-2023,2022 - 2026,archivado,1.0,1.0
26,PL286-22,PL-286S-2023-Inmergabilidad Seres SintientesDescargar ,"['JUAN DIEGO ECHAVARRIA SANCHEZ', 'JUAN CARLOS GARCÉS ROJAS']",Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,2.0
27,PL285-22,PL-285S-2023--287C-2022 Honores MontelíbanoDescargar ,['ANDRÉS DAVID CALLE AGUAS'],Proyecto de ley,2022-2023,2022 - 2026,ley,0.0,1.0
28,PL284-22,PL-284S-2023--196C-2022 Honores SalentoDescargar ,"['Honorables Representantes PIEDAD CORREAL RUBIANO', 'LUIS CARLOS OCHOA TOBÓN', 'CARLOS FELIPE QUINTERO OVALLE', 'LEONARDO DE JESÚS GALLEGO ARROYAVE', 'OLGA BEATRIZ GONZÁLEZ CORREA', 'MÓNICA KARINA BOCANEGRA PANTOJA', 'HUGO ALFONSO ARCHILA SUÁREZ', 'JULIÁN PEINADO RAMÍREZ', 'GILMA DÍAZ ARIAS']",Proyecto de ley,2022-2023,2022 - 2026,ley,-0.1111111111111111,9.0
29,PL283-22,PL-283S-2023--PL-115C-2022 1% AmbientalDescargar ,"['ANGÉLICA LISBETH LOZANO CORREA', 'ANA PAOLA AGUDELO GARCÍA', 'MANUEL ANTONIO VIRGÜEZ PIRAQUIVE', 'MAURICIO GÓMEZ AMÍN', 'ALEJANDRO CARLOS CHACÓN CAMARGO', 'SOLEDAD TAMAYO TAMAYO', 'JUAN CARLOS GARCÍA GÓMEZ', 'ANDREA PADILLA VILLARRAGA', 'ANA CAROLINA ESPITIA JEREZ', 'EDWING FABIÁN DÍAZ PLATA', 'IVÁN LEONIDAS NAME VÁSQUEZ; Honorables Representantes OLGA LUCIA VELÁSQUEZ NIETO', 'JULIA MIRANDA LONDOÑO', 'CRISTIAN DANILO AVENDAÑO FINO', 'IRMA LUZ HERRERA RODRÍGUEZ', 'ELKIN RODOLFO OSPINA OSPINA', 'DANIEL CARVALHO MEJÍA', 'LUVI KATHERINE MIRANDA PEÑA', 'JUAN DIEGO MUÑOZ CABRERA', 'CAROLINA GIRALDO BOTERO', 'CATHERINE JUVINAO CLAVIJO', 'DUVALIER SÁNCHEZ ARANGO', 'JUAN CAMILO LONDOÑO BARRERA', 'JAIME RAÚL SALAMANCA TORRES', 'JENNIFER DALLEY PEDRAZA SANDOVAL', 'SANTIAGO OSORIO MARÍN', 'JUAN SEBASTIÁN GÓMEZ GONZÁLES', 'WILDER IBERSON ESCOBAR ORTIZ']",Proyecto de ley,2022-2023,2022 - 2026,ley,0.5714285714285714,28.0
30,PL282-22,PL-282S-2023--PL-038C-2022 Situación MilitarDescargar ,['JUAN CARLOS WILLS OSPINA'],Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,1.0
31,PL281-22,PL-281S-2023 Jornada Nocturna Univ,['JULIO ELÍAS CHAGUI FLÓREZ'],Proyecto de ley,2022-2023,2022 - 2026,archivado,0.0,1.0
32,PL280-22,PL-280S-2023--240C-22 Reforma Ley 397 de 1997Descargar ,"['Ministra de Cultura', 'Dra. Patricia Elia Ariza Florez; con el acompañamiento de los Honorables Senadores Iván Cepeda Castro', 'Isabel Cristina Zuleta López', 'María José Pizarro Rodríguez', 'Julián Gallo Cubillos', 'Robert Daza Guevara', 'Pedro Hernando Flórez Porras', 'Sandra Yaneth Jaimes Cruz', 'Clara Eugenia López Obregón; y los Honorables Representantes David Ricardo Racero Mayorca', 'Gabriel Becerra Yañez', 'Ermes Evelio Pete Vivas', 'Alirio Uribe Muñoz', 'Susana Gómez Castaño', 'Etna Tamara Argote Calderón', 'Cristóbal Caicedo Ángulo', 'Luz María Múnera Medina', 'Leider Alexandra Vásquez Ochoa', 'Gabriel Ernesto Parrado Durán', 'Heraclito Landinez Suárez', 'Leyla Marleny Rincón Trujillo', 'Jorge Andrés Cancimance López', 'Mary Anne Andrea Perdomo', 'Gloria Elena Arizabaleta Corral', 'Dorina Hernández Palomino', 'Eduard Giovanny Sarmiento Hidalgo', 'Ingrid Johana Aguirre Juvinao', 'David Alejandro Toro Ramírez', 'Agmeth José Escaf Tijerino', 'María Fernanda Carrascal Rojas', 'Jorge Hernán Bastidas Rosero', 'Jorge Alejandro Ocampo Giraldo', 'Pedro José Súarez Vacca', 'José Alberto Tejada Echeverry', 'María del Mar Pizarro García', 'Alfredo Mondragón Garzón', 'Norman David Bañol Álvarez', 'Martha Lisbeth Alfonso Jurado', 'Santiago Osorio Marín', 'Jorge Eliécer Tamayo Marulanda', 'Luis Alberto Albán Urbano', 'Erick Adrián Velasco Burbano', 'Andrés David Calle Aguas', 'Elizabeth Jay-Pang Día', 'James Hermenegildo Mosquera Torres', 'Orlando Castillo Advincula', 'Pedro Baracutao García Ospina', 'Juan Carlos Lozada Vargas', 'Jairo Reinaldo Cala Suárez', 'Germán José Gómez López']",Proyecto de ley,2022-2023,2022 - 2026,ley,0.9183673469387755,49.0
